"id","make","model","year","class","trans","cyl","displ","hwy","cty","hwy.factor"
27550,"AM General","DJ Po Vehicle 2WD",1984,"spv","Auto",4,2.5,17,18,1
28426,"AM General","DJ Po Vehicle 2WD",1984,"spv","Auto",4,2.5,17,18,1
27549,"AM General","FJ8c Post Office",1984,"spv","Auto",6,4.2,13,13,1
28425,"AM General","FJ8c Post Office",1984,"spv","Auto",6,4.2,13,13,1
1032,"AM General","Post Office DJ5 2WD",1985,"spv","Auto",4,2.5,17,16,1
1033,"AM General","Post Office DJ8 2WD",1985,"spv","Auto",6,4.2,13,13,1
3347,"ASC Incorporated","GNX",1987,"midsize","Auto",6,3.8,21,14,2
13309,"Acura","2.2CL/3.0CL",1997,"subcompact","Auto",4,2.2,26,20,3
13310,"Acura","2.2CL/3.0CL",1997,"subcompact","Manual",4,2.2,28,22,3
13311,"Acura","2.2CL/3.0CL",1997,"subcompact","Auto",6,3,26,18,3
14038,"Acura","2.3CL/3.0CL",1998,"subcompact","Auto",4,2.3,27,19,3
14039,"Acura","2.3CL/3.0CL",1998,"subcompact","Manual",4,2.3,29,21,3
14040,"Acura","2.3CL/3.0CL",1998,"subcompact","Auto",6,3,26,17,3
14834,"Acura","2.3CL/3.0CL",1999,"subcompact","Auto",4,2.3,27,20,3
14835,"Acura","2.3CL/3.0CL",1999,"subcompact","Manual",4,2.3,29,21,3
14836,"Acura","2.3CL/3.0CL",1999,"subcompact","Auto",6,3,26,17,3
11789,"Acura","2.5TL",1995,"compact","Auto",5,2.5,23,18,2
12673,"Acura","2.5TL/3.2TL",1996,"compact","Auto",5,2.5,23,18,2
12674,"Acura","2.5TL/3.2TL",1996,"compact","Auto",6,3.2,22,17,2
13421,"Acura","2.5TL/3.2TL",1997,"compact","Auto",5,2.5,23,18,2
13422,"Acura","2.5TL/3.2TL",1997,"compact","Auto",6,3.2,22,17,2
14163,"Acura","2.5TL/3.2TL",1998,"compact","Auto",5,2.5,23,17,2
14164,"Acura","2.5TL/3.2TL",1998,"compact","Auto",6,3.2,22,17,2
16573,"Acura","3.2CL",2001,"compact","Auto",6,3.2,27,17,3
17489,"Acura","3.2CL",2002,"compact","Auto",6,3.2,27,17,3
18458,"Acura","3.2CL",2003,"compact","Manual",6,3.2,26,17,3
18459,"Acura","3.2CL",2003,"compact","Auto",6,3.2,27,17,3
15069,"Acura","3.2TL",1999,"midsize","Auto",6,3.2,25,17,3
15871,"Acura","3.2TL",2000,"midsize","Auto",6,3.2,27,17,3
16734,"Acura","3.2TL",2001,"midsize","Auto",6,3.2,27,17,3
17664,"Acura","3.2TL",2002,"midsize","Auto",6,3.2,27,17,3
18629,"Acura","3.2TL",2003,"midsize","Auto",6,3.2,27,17,3
12801,"Acura","3.5RL",1996,"midsize","Auto",6,3.5,23,17,2
13537,"Acura","3.5RL",1997,"midsize","Auto",6,3.5,23,17,2
14278,"Acura","3.5RL",1998,"midsize","Auto",6,3.5,23,17,2
15070,"Acura","3.5RL",1999,"midsize","Auto",6,3.5,22,16,2
15872,"Acura","3.5RL",2000,"midsize","Auto",6,3.5,22,16,2
16735,"Acura","3.5RL",2001,"midsize","Auto",6,3.5,22,16,2
17665,"Acura","3.5RL",2002,"midsize","Auto",6,3.5,22,16,2
18630,"Acura","3.5RL",2003,"midsize","Auto",6,3.5,22,16,2
19710,"Acura","3.5RL",2004,"midsize","Auto",6,3.5,22,16,2
33146,"Acura","ILX",2013,"compact","Auto",4,2,35,24,4
33147,"Acura","ILX",2013,"compact","Manual",4,2.4,31,22,3
33566,"Acura","ILX",2014,"compact","Auto",4,2,35,24,4
33567,"Acura","ILX",2014,"compact","Manual",4,2.4,31,22,3
33148,"Acura","ILX Hybrid",2013,"compact","Auto",4,1.5,38,39,4
33607,"Acura","ILX Hybrid",2014,"compact","Auto",4,1.5,38,39,4
1833,"Acura","Integra",1986,"subcompact","Auto",4,1.6,28,22,3
1834,"Acura","Integra",1986,"subcompact","Manual",4,1.6,28,23,3
3037,"Acura","Integra",1987,"subcompact","Auto",4,1.6,28,22,3
3038,"Acura","Integra",1987,"subcompact","Manual",4,1.6,28,23,3
4183,"Acura","Integra",1988,"subcompact","Auto",4,1.6,27,22,3
4184,"Acura","Integra",1988,"subcompact","Manual",4,1.6,28,23,3
5303,"Acura","Integra",1989,"subcompact","Auto",4,1.6,27,22,3
5304,"Acura","Integra",1989,"subcompact","Manual",4,1.6,28,23,3
6442,"Acura","Integra",1990,"subcompact","Auto",4,1.8,24,20,2
6443,"Acura","Integra",1990,"subcompact","Manual",4,1.8,26,21,3
7519,"Acura","Integra",1991,"subcompact","Auto",4,1.8,26,21,3
7520,"Acura","Integra",1991,"subcompact","Manual",4,1.8,26,21,3
28918,"Acura","Integra",1992,"subcompact","Manual",4,1.7,26,21,3
8620,"Acura","Integra",1992,"subcompact","Auto",4,1.8,26,21,3
8621,"Acura","Integra",1992,"subcompact","Manual",4,1.8,28,22,3
9691,"Acura","Integra",1993,"subcompact","Manual",4,1.7,26,21,3
9692,"Acura","Integra",1993,"subcompact","Auto",4,1.8,26,21,3
9693,"Acura","Integra",1993,"subcompact","Manual",4,1.8,29,22,3
10676,"Acura","Integra",1994,"subcompact","Manual",4,1.8,28,22,3
10677,"Acura","Integra",1994,"subcompact","Auto",4,1.8,29,21,3
10678,"Acura","Integra",1994,"subcompact","Manual",4,1.8,29,22,3
11639,"Acura","Integra",1995,"subcompact","Manual",4,1.8,28,22,3
11640,"Acura","Integra",1995,"subcompact","Auto",4,1.8,29,21,3
11641,"Acura","Integra",1995,"subcompact","Manual",4,1.8,29,22,3
12557,"Acura","Integra",1996,"subcompact","Manual",4,1.8,29,22,3
12558,"Acura","Integra",1996,"subcompact","Auto",4,1.8,29,21,3
12559,"Acura","Integra",1996,"subcompact","Manual",4,1.8,29,22,3
13306,"Acura","Integra",1997,"subcompact","Manual",4,1.8,29,22,3
13307,"Acura","Integra",1997,"subcompact","Auto",4,1.8,29,21,3
13308,"Acura","Integra",1997,"subcompact","Manual",4,1.8,29,22,3
14041,"Acura","Integra",1998,"subcompact","Auto",4,1.8,29,21,3
14042,"Acura","Integra",1998,"subcompact","Manual",4,1.8,29,22,3
14043,"Acura","Integra",1998,"subcompact","Manual",4,1.8,28,22,3
14837,"Acura","Integra",1999,"subcompact","Auto",4,1.8,29,21,3
14838,"Acura","Integra",1999,"subcompact","Manual",4,1.8,29,22,3
14839,"Acura","Integra",1999,"subcompact","Manual",4,1.8,28,22,3
15640,"Acura","Integra",2000,"subcompact","Auto",4,1.8,28,21,3
15641,"Acura","Integra",2000,"subcompact","Manual",4,1.8,28,22,3
15642,"Acura","Integra",2000,"subcompact","Manual",4,1.8,28,22,3
16488,"Acura","Integra",2001,"subcompact","Auto",4,1.8,28,21,3
16489,"Acura","Integra",2001,"subcompact","Manual",4,1.8,28,22,3
16490,"Acura","Integra",2001,"subcompact","Manual",4,1.8,28,22,3
1991,"Acura","Legend",1986,"compact","Auto",6,2.5,22,17,2
1992,"Acura","Legend",1986,"compact","Manual",6,2.5,23,18,2
3160,"Acura","Legend",1987,"compact","Auto",6,2.5,22,17,2
3161,"Acura","Legend",1987,"compact","Manual",6,2.5,23,18,2
3162,"Acura","Legend",1987,"compact","Auto",6,2.7,22,16,2
3163,"Acura","Legend",1987,"compact","Manual",6,2.7,23,17,2
4360,"Acura","Legend",1988,"compact","Auto",6,2.7,21,16,2
4361,"Acura","Legend",1988,"compact","Manual",6,2.7,22,17,2
5499,"Acura","Legend",1989,"compact","Auto",6,2.7,20,16,2
5500,"Acura","Legend",1989,"compact","Manual",6,2.7,22,17,2
6636,"Acura","Legend",1990,"compact","Auto",6,2.7,20,16,2
6637,"Acura","Legend",1990,"compact","Manual",6,2.7,22,17,2
7742,"Acura","Legend",1991,"compact","Auto",6,3.2,21,17,2
7743,"Acura","Legend",1991,"compact","Manual",6,3.2,24,16,2
8831,"Acura","Legend",1992,"compact","Auto",6,3.2,22,17,2
8832,"Acura","Legend",1992,"compact","Manual",6,3.2,24,16,2
28989,"Acura","Legend",1993,"compact","Auto",6,3.2,21,16,2
28990,"Acura","Legend",1993,"compact","Manual",6,3.2,23,15,2
9877,"Acura","Legend",1993,"compact","Auto",6,3.2,22,17,2
9878,"Acura","Legend",1993,"compact","Manual",6,3.2,23,16,2
10843,"Acura","Legend",1994,"compact","Auto",6,3.2,21,16,2
10844,"Acura","Legend",1994,"compact","Auto",6,3.2,22,17,2
10845,"Acura","Legend",1994,"compact","Manual",6,3.2,23,16,2
10846,"Acura","Legend",1994,"compact","Manual",6,3.2,24,16,2
11785,"Acura","Legend",1995,"compact","Auto",6,3.2,21,16,2
11786,"Acura","Legend",1995,"compact","Auto",6,3.2,22,17,2
11787,"Acura","Legend",1995,"compact","Manual",6,3.2,23,16,2
11788,"Acura","Legend",1995,"compact","Manual",6,3.2,24,16,2
17191,"Acura","MDX",2001,"suv","Auto",6,3.5,21,15,2
18137,"Acura","MDX",2002,"suv","Auto",6,3.5,21,15,2
33590,"Acura","MDX 2WD",2014,"suv","Auto",6,3.5,28,20,3
19118,"Acura","MDX 4WD",2003,"suv","Auto",6,3.5,21,15,2
20243,"Acura","MDX 4WD",2004,"suv","Auto",6,3.5,21,15,2
21351,"Acura","MDX 4WD",2005,"suv","Auto",6,3.5,21,15,2
22462,"Acura","MDX 4WD",2006,"suv","Auto",6,3.5,21,15,2
23771,"Acura","MDX 4WD",2007,"suv","Auto",6,3.7,20,15,2
25012,"Acura","MDX 4WD",2008,"suv","Auto",6,3.7,20,15,2
26163,"Acura","MDX 4WD",2009,"suv","Auto",6,3.7,20,15,2
29797,"Acura","MDX 4WD",2010,"suv","Auto",6,3.7,21,16,2
30772,"Acura","MDX 4WD",2011,"suv","Auto",6,3.7,21,16,2
31947,"Acura","MDX 4WD",2012,"suv","Auto",6,3.7,21,16,2
33234,"Acura","MDX 4WD",2013,"suv","Auto",6,3.7,21,16,2
33592,"Acura","MDX 4WD",2014,"suv","Auto",6,3.5,27,18,3
7445,"Acura","NSX",1991,"coupe","Auto",6,3,22,16,2
7446,"Acura","NSX",1991,"coupe","Manual",6,3,22,16,2
8556,"Acura","NSX",1992,"coupe","Auto",6,3,22,16,2
